symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2007-11-21 00:00:00+00:00,168.46,172.35,164.67,165.84,43493200,5.1129756998,5.2310421575,4.9979443695,5.0334553606,1217810817,0.0,1.0
AAPL,2007-11-23 00:00:00+00:00,171.54,172.05,169.75,172.0,16634200,5.2064576252,5.2219367752,5.1521288439,5.2204192115,465758065,0.0,1.0
AAPL,2007-11-26 00:00:00+00:00,172.5419,177.2699,172.35,173.59,46634100,5.2368665671,5.3803673929,5.2310421575,5.2686777379,1305756105,0.0,1.0
AAPL,2007-11-27 00:00:00+00:00,174.81,175.79,170.01,175.22,47036800,5.3057062928,5.3354505418,5.1600201752,5.3181503153,1317031717,0.0,1.0
AAPL,2007-11-28 00:00:00+00:00,180.22,180.6,175.35,176.82,41104000,5.4699066877,5.481440172,5.322095981,5.3667123545,1150913150,0.0,1.0
AAPL,2007-11-29 00:00:00+00:00,184.29,185.17,179.15,179.43,37533100,5.5934363749,5.6201454964,5.437430824,5.4459291809,1050927850,0.0,1.0
AAPL,2007-11-30 00:00:00+00:00,182.22,187.7,179.7,187.34,42421500,5.5306092367,5.6969342209,5.454124025,5.6860077621,1187803187,0.0,1.0
AAPL,2007-12-03 00:00:00+00:00,178.86,184.14,177.7,181.86,34338200,5.4286289544,5.5888836837,5.393421476,5.5196827779,961470561,0.0,1.0
AAPL,2007-12-04 00:00:00+00:00,179.81,180.9,176.99,177.15,27635700,5.4574626652,5.4905455544,5.3718720712,5.3767282751,773800373,0.0,1.0
AAPL,2007-12-05 00:00:00+00:00,185.5,186.0,182.41,182.89,31871500,5.630161417,5.6453370543,5.5363759789,5.5509445906,892402892,0.0,1.0
AAPL,2007-12-06 00:00:00+00:00,189.9528,190.1,186.12,186.19,32136100,5.7653095721,5.7697772797,5.6489792072,5.6511037964,899811699,0.0,1.0
AAPL,2007-12-07 00:00:00+00:00,194.3,194.99,188.04,190.54,38073800,5.8972526325,5.9181950119,5.7072536542,5.7831318404,1066067466,0.0,1.0
AAPL,2007-12-10 00:00:00+00:00,194.21,195.66,192.69,193.59,25799200,5.8945210178,5.9385303658,5.8483870806,5.8757032276,722378322,0.0,1.0
AAPL,2007-12-11 00:00:00+00:00,188.5404,196.83,187.39,194.75,39675900,5.722441432,5.9740413569,5.6875253258,5.910910706,1110926310,0.0,1.0
AAPL,2007-12-12 00:00:00+00:00,190.86,194.48,185.76,193.44,43773600,5.7928442483,5.9027158619,5.6380527484,5.8711505364,1225662025,0.0,1.0
AAPL,2007-12-13 00:00:00+00:00,191.83,192.12,187.82,190.19,30879200,5.8222849845,5.8310868541,5.7005763738,5.7725088944,864618464,0.0,1.0
AAPL,2007-12-14 00:00:00+00:00,190.39,200.0,189.54,190.37,24082600,5.7785791493,6.0702548971,5.7527805659,5.7779721238,674313474,0.0,1.0
AAPL,2007-12-17 00:00:00+00:00,184.4,192.65,182.98,190.72,36596200,5.5967750151,5.8471730296,5.5536762053,5.7885950698,1024694624,0.0,1.0
AAPL,2007-12-18 00:00:00+00:00,182.98,187.33,178.6,186.52,43664400,5.5536762053,5.6857042493,5.4207376231,5.661119717,1222604422,0.0,1.0
AAPL,2007-12-19 00:00:00+00:00,183.12,184.6394,180.9,182.98,29552800,5.5579253838,5.6040411102,5.4905455544,5.5536762053,827479227,0.0,1.0
AAPL,2007-12-20 00:00:00+00:00,187.21,187.83,183.33,185.43,27644900,5.6820620964,5.7008798866,5.5642991514,5.6280368278,774057974,0.0,1.0
AAPL,2007-12-21 00:00:00+00:00,193.91,193.9125,189.89,190.12,35498600,5.8854156354,5.8854915136,5.763403512,5.7703843051,993961793,0.0,1.0
AAPL,2007-12-24 00:00:00+00:00,198.8,199.33,194.79,195.03,17150100,6.0338333677,6.0499195432,5.912124757,5.9194090629,480203280,0.0,1.0
AAPL,2007-12-26 00:00:00+00:00,198.95,200.96,196.82,199.01,25133300,6.0383860589,6.0993921206,5.9737378442,6.0402071353,703733103,0.0,1.0
AAPL,2007-12-27 00:00:00+00:00,198.57,202.96,197.8,198.95,28411700,6.0268525745,6.1600946695,6.0034820932,6.0383860589,795528395,0.0,1.0
AAPL,2007-12-28 00:00:00+00:00,199.83,201.56,196.8801,200.59,24987400,6.0650951804,6.1176028853,5.9755619558,6.088162149,699647899,0.0,1.0
AAPL,2007-12-31 00:00:00+00:00,198.08,200.5,197.75,199.5,19261900,6.0119804501,6.0854305343,6.0019645295,6.0550792598,539333739,0.0,1.0
AAPL,2008-01-02 00:00:00+00:00,194.84,200.26,192.55,199.27,38542100,5.9136423207,6.0781462284,5.8441379021,6.0480984667,1079179879,0.0,1.0
AAPL,2008-01-03 00:00:00+00:00,194.93,197.39,192.69,195.41,30073800,5.9163739354,5.9910380707,5.8483870806,5.9309425472,842067242,0.0,1.0
